agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Shelby County Sheriff's Office,Sheriff's office,516, , , , , ,"501 Main St, Courthouse, Ste 8", , ,Memphis,TN,Shelby,38103, , , , ,47157
Mobile Police Department,Local police department,515, , , , , ,2460 Government Boulevard, , ,Mobile,AL,Mobile,36606, , , , ,1097
Tulare County Sheriff's Office,Sheriff's office,513, , , , , ,2404 W Burrel Ave,County Civic Center, ,Visalia,CA,Tulare,93291, , , , ,6107
Richland County Sheriff's Office,Sheriff's office,512, , , , , ,211 W Market St, , ,Columbia,SC,Richland,29223, , , , ,45079
Kern County Sheriff's Office,Sheriff's office,512, , , , , ,1350 Norris Rd, , ,Bakersfield,CA,Kern,93308, , , , ,6029
Shreveport Police Department,Local police department,511, , , , , ,1234 Texas Ave, , ,Shreveport,LA,Caddo,71101, , , , ,22017
St. Petersburg Police Department,Local police department,510, , , , , ,1300 First Avenue North, , ,St. Petersburg,FL,Pinellas,33705, , , , ,12103
Winston-Salem Police Department,Local police department,508, , , , , ,Po Box 1707, , ,Winston-Salem,NC,Forsyth,27102, , , , ,37067
Orleans Parish Sheriff's Office (Criminal Division),Sheriff's office,505, , , , , ,2800 Gravier St, , ,New Orleans,LA,Orleans,70119, , , , ,22071
Montgomery Police Department,Local police department,500, , , , , ,320 North Ripley Street, , ,Montgomery,AL,Montgomery,36104, , , , ,1101
Fairfax County Sheriff's Office,Sheriff's office,499, , , , , ,4110 Chain Bridge Rd, , ,Fairfax,VA,Fairfax,22030, , , , ,51059
Brevard County Sheriff's Office,Sheriff's office,497, , , , , ,700 S Park Ave, , ,Titusville,FL,Brevard,32780, , , , ,12009
Paterson Police,Local police department,497, , , , , ,111 Broadway, , ,Paterson,NJ,Passaic,7505, , , , ,34031
Johnson County Sheriff's Office,Sheriff's office,496, , , , , ,230 DONOVAN-HARRISON RD, , ,Olathe,KS,Johnson,66061, , , , ,20091
Durham Police Department,Local police department,494, , , , , ,86 Dover Road, , ,Durham,NC,Durham,27701, , , , ,37063
Monmouth County Sheriff's Office,Sheriff's office,494, , , , , ,50 E Main St, , ,Freehold,NJ,Monmouth,7728, , , , ,34025
Wisconsin State Patrol,Primary state law enforcement agency,492, , , , , ,"4802 Sheboygan Avenue, Room 551",P.O. Box 7912, ,Madison,WI,Dane,53707, , , , ,55025
Nebraska State Patrol,Primary state law enforcement agency,491, , , , , ,P.O. Box 94907,1600 Highway 2, ,Lincoln,NE,Lancaster,68509, , , , ,31109
Syracuse Police Department,Local police department,489, , , , , ,511 South State Street, , ,Syracuse,NY,Onondaga,13202, , , , ,36067
Pasco County Sheriff's Office,Sheriff's office,485, , , , , ,8700 Citizen Dr, , ,New Port Richey,FL,Pasco,34654, , , , ,12101
Providence Police Department,Local police department,483, , , , , ,220 N WILLOW ST, , ,Providence,RI,Providence,2903, , , , ,44007
Worcester Police Department,Local police department,482, , , , , ,9-11 Lincoln Square, , ,Worcester,MA,Worcester,1608, , , , ,25027
