agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Rhode Island State Sheriff's Department,Special jurisdiction,169, , , , , ,670 New London Avenue, , ,Cranston,RI,Providence,2920, , , , ,44007
Durham County Sheriff's Office,Sheriff's office,168, , , , , ,Po Box 170, , ,Durham,NC,Durham,27702, , , , ,37063
New York City Department of Environmental Protection Police,Special jurisdiction,168, , , , , ,2 Walker Rd, , ,Valhalla,NY,Westchester,10595, , , , ,36119
Erie Police Department,Local police department,167, , , , , ,626 State Street, , ,Erie,PA,Erie,16501, , , , ,42049
Orange Police Department,Local police department,167, , , , , ,1107 N. Batavia Street, , ,Orange,CA,Orange,92667, , , , ,6059
Alexandria Police Department,Local police department,167, , , , , ,8236 W. Main St., , ,Alexandria,LA,Rapides,71301, , , , ,22079
Las Cruces Police Department,Local police department,167, , , , , ,P.O. Box 20000, , ,Las Cruces,NM,Dona Ana,88004, , , , ,35013
Yuma Police Department,Local police department,167, , , , , ,1500 So. First Avenue, , ,Yuma,AZ,Yuma,85364, , , , ,4027
Norwalk Police Department,Local police department,167, , , , , ,37 North Linwood Avenue, , ,Norwalk,CT,Fairfield,6854, , , , ,9001
Schenectady Police Department,Local police department,166, , , , , ,531 Liberty Street, , ,Schenectady,NY,Schenectady,12305, , , , ,36093
Gastonia Police Department,Local police department,166, , , , , ,Po Box 1748, , ,Gastonia,NC,Gaston,28053, , , , ,37071
Abilene Police Department,Local police department,166, , , , , ,P. O. Box 174,450 PECAN STREET, ,Abilene,TX,Taylor,79604, , , , ,48441
Garden Grove Police Department,Local police department,166, , , , , ,11301 Acacia Parkway, , ,Garden Grove,CA,Orange,92640, , , , ,6059
Decatur Police Dept,Local police department,166, , , , , ,P.O. Box 66, , ,Decatur,IL,Macon,62523, , , , ,17115
Davenport Police Department,Local police department,166, , , , , ,P. O. Box 279, , ,Davenport,IA,Scott,52801, , , , ,19163
Longview Police Department,Local police department,165, , , , , ,P. O. Box 1952, , ,Longview,TX,Gregg,75606, , , , ,48183
Union City Police,Local police department,165, , , , , ,3715 Palisade Avenue, , ,Union City,NJ,Hudson,7087, , , , ,34017
Lawton Police Department,Local police department,165, , , , , ,125 S Main St,PO Box 117, ,Lawton,OK,Comanche,73501, , , , ,40031
Richmond Police Department,Local police department,165, , , , , ,207 Summit Street, , ,Richmond,CA,Contra Costa,94804, , , , ,6013
Walton County Sheriff's Office,Sheriff's office,165, , , , , ,1425 S Madison Ave, , ,Defuniak Springs,FL,Walton,32433, , , , ,12131
Boynton Beach Police Department,Local police department,165, , , , , ,100 E. Boynton Beach Blvd., , ,Boynton Beach,FL,Palm Beach,33435, , , , ,12099
Boulder Police Department,Local police department,165, , , , , ,P O Box 791, , ,Boulder,CO,Boulder,80306, , , , ,8013
Lynchburg Police Department,Local police department,164, , , , , ,P.O. Box 620,440 N. Main Street, ,Lynchburg,VA,Lynchburg City,24505, , , , ,51680
Collin County Sheriff's Office,Sheriff's office,164, , , , , ,4300 Community Ave., , ,Mckinney,TX,Collin,75071, , , , ,48085
Schenectady County Sheriff's Office,Sheriff's office,164, , , , , ,320 Veeder Ave, , ,Schenectady,NY,Schenectady,12307, , , , ,36093
Davie Police Department,Local police department,164, , , , , ,1230 South Nob Hill Road, , ,Davie,FL,Broward,33324, , , , ,12011
Burbank Police Department,Local police department,164, , , , , ,200 N. Third St., , ,Burbank,CA,Los Angeles,91502, , , , ,6037
Escondido Police Department,Local police department,163, , , , , ,700 W. Grand Avenue, , ,Escondido,CA,San Diego,92025, , , , ,6073
Camden County Prosecutor's Chief,Special jurisdiction,163, , , , , ,25 North 5Th Street,3rd Floor, ,Camden,NJ,Camden,8102, , , , ,34007
Melbourne Police Department,Local police department,163, , , , , ,650 North Apollo Boulevard, , ,Melbourne,FL,Brevard,32935, , , , ,12009
Kenner Police Department,Local police department,162, , , , , ,500 Veterans Blvd., , ,Kenner,LA,Jefferson,70062, , , , ,22051
Cary Police Department,Local police department,162, , , , , ,Po Box 8005, , ,Cary,NC,Wake,27512, , , , ,37183
Fort Collins Police Department,Local police department,162, , , , , ,2221 Timberline Road, , ,Fort Collins,CO,Larimer,80521, , , , ,8069
Lancaster Police Department,Local police department,161, , , , , ,25 Main Street, , ,Lancaster,PA,Lancaster,17603, , , , ,42071
Olathe Police Department,Local police department,161, , , , , ,Po Box 768, , ,Olathe,KS,Johnson,66061, , , , ,20091
Galveston Police Department,Local police department,161, , , , , ,P.O. Box 17251, , ,Galveston,TX,Galveston,77552, , , , ,48167
Concord Police Department,Local police department,161, , , , , ,Po Box 308, , ,Concord,CA,Contra Costa,94520, , , , ,6013
Randolph County Sheriff's Office,Sheriff's office,161, , , , , ,372 Highway Jj, , ,Asheboro,NC,Randolph,27205, , , , ,37151
Arvada Police Department,Local police department,161, , , , , ,P O Box 8101, , ,Arvada,CO,Jefferson,80002, , , , ,8059
Thornton Police Dept,Local police department,161, , , , , ,700 Park, , ,Thornton,CO,Adams,80229, , , , ,8001
Camden County Sheriff's Office,Sheriff's office,160, , , , , ,"Courthouse, Rm. 100, 520 Market St", , ,Camden,NJ,Camden,8102, , , , ,34007
Toms River Police,Local police department,160, , , , , ,255 Oak Drive, , ,Toms River,NJ,Ocean,8753, , , , ,34029
Ann Arbor Police Department,Local police department,160, , , , , ,100 North Fifth Ave, , ,Ann Arbor,MI,Washtenaw,48104, , , , ,26161
Portsmouth (City) Sheriff's Office,Sheriff's office,160, , , , , ,701 Crawford St, , ,Portsmouth,VA,Portsmouth City,23704, , , , ,51740
Essex County Prosecutor's Chief,Special jurisdiction,160, , , , , ,Essex County Courts Building,50 West Market Street, ,Newark,NJ,Essex,7102, , , , ,34013
New Britain Police Department,Local police department,160, , , , , ,125 Columbus Boulevard, , ,New Britain,CT,Hartford,6051, , , , ,9003
Virginia Department Game and Inland Fisheries,Special jurisdiction,160, , , , , ,4010 W. Broad, , ,Richmond,VA,Richmond City,23230, , , , ,51760
Fullerton Police Department,Local police department,159, , , , , ,237 W. Commonwealth Avenue, , ,Fullerton,CA,Orange,92832, , , , ,6059
Carrollton Police Department,Local police department,159, , , , , ,206 W. Washington Ave, , ,Carrollton,TX,Dallas,75006, , , , ,48113
Avoyelles Parish Sheriff's Office,Sheriff's office,159, , , , , ,675 Government St, , ,Marksville,LA,Avoyelles,71351, , , , ,22009
Portland Police Department,Local police department,159, , , , , ,773 E Grand River Ave, , ,Portland,ME,Cumberland,4101, , , , ,23005
Palm Bay Police Department,Local police department,159, , , , , ,130 Malabar Road Southeast, , ,Palm Bay,FL,Brevard,32907, , , , ,12009
Iredell County Sheriff's Office,Sheriff's office,159, , , , , ,Po Box 287, , ,Statesville,NC,Iredell,28687, , , , ,37097
Evanston Police Dept,Local police department,159, , , , , ,1454 Elmwood, , ,Evanston,IL,Cook,60201, , , , ,17031
Norfolk County Sheriff's Office,Sheriff's office,158, , , , , ,200 West St, , ,Dedham,MA,Norfolk,2026, , , , ,25021
Clifton Police,Local police department,158, , , , , ,900 Clifton Avenue, , ,Clifton,NJ,Passaic,7013, , , , ,34031
Fort Smith Police Department,Local police department,158, , , , , ,100 South 10Th Street, , ,Fort Smith,AR,Sebastian,72901, , , , ,5131
Costa Mesa Police Department,Local police department,158, , , , , ,99 Fair Drive, , ,Costa Mesa,CA,Orange,92628, , , , ,6059
Hoover Police Department,Local police department,158, , , , , ,100 Municipal Drive, , ,Hoover,AL,Jefferson,35216, , , , ,1073
York County Sheriff's Office,Sheriff's office,157, , , , , ,1675-2A York Hwy, , ,York,SC,York,29745, , , , ,45091
Clark County School District Police Dept,Special jurisdiction,157, , , , , ,120 Corporate Park Drive, , ,Henderson,NV,Clark,89074, , , , ,32003
Salem County Sheriff's Office,Sheriff's office,157, , , , , ,94 Market St, , ,Salem,NJ,Salem,8079, , , , ,34033
Vineland Police,Local police department,157, , , , , ,111 North 6Th Street, , ,Vineland,NJ,Cumberland,8360, , , , ,34011
Berkshire County Sheriff's Office,Sheriff's office,157, , , , , ,467 Cheshire Rd, , ,Pittsfield,MA,Berkshire,1201, , , , ,25003
Hoboken Police,Local police department,156, , , , , ,106 Hudson Street, , ,Hoboken,NJ,Hudson,7030, , , , ,34017
Dallas Area Rapid Transit Police,Special jurisdiction,156, , , , , ,"1333 N. Stemmons Freeway, Suite 105", , ,Dallas,TX,Dallas,75257, , , , ,48113
Hampton (City) Sheriff's Office,Sheriff's office,156, , , , , ,1928 W Pembroke Ave, , ,Hampton,VA,Hampton City,23661, , , , ,51650
San Luis Obispo County Sheriff's Office,Sheriff's office,156, , , , , ,Po Box 32, , ,San Luis Obispo,CA,San Luis Obispo,93406, , , , ,6079
Spotsylvania County Sheriff's Office,Sheriff's office,156, , , , , ,Po Box 124, , ,Spotsylvania,VA,Spotsylvania,22553, , , , ,51177
Pueblo County Sheriff's Office,Sheriff's office,155, , , , , ,909 Court St, , ,Pueblo,CO,Pueblo,81003, , , , ,8101
Waukegan Police Dept,Local police department,155, , , , , ,420 Robert V Sabonjian Place, , ,Waukegan,IL,Lake,60085, , , , ,17097
Harrisburg Police Department,Local police department,155, , , , , ,123 Walnut Street, , ,Harrisburg,PA,Dauphin,17101, , , , ,42043
Scranton Police Department,Local police department,155, , , , , ,Po Box 143, , ,Scranton,PA,Lackawanna,18503, , , , ,42069
Denton Police Department,Local police department,155, , , , , ,Po Box 1099, , ,Denton,TX,Denton,76205, , , , ,48121
McKinney Police Department,Local police department,155, , , , , ,2200 Taylor-Burk, , ,McKinney,TX,Collin,75071, , , , ,48085
Columbia Police Department,Local police department,155, , , , , ,Po Box 10, , ,Columbia,MO,Boone,65201, , , , ,29019
Ocala Police Department,Local police department,155, , , , , ,Post Office Box 1270, , ,Ocala,FL,Marion,34478, , , , ,12083
St. Clair County Sheriff's Office,Sheriff's office,154, , , , , ,1170 Michigan Rd, , ,Belleville,IL,St. Clair,62220, , , , ,17163
Bethlehem Police Department,Local police department,154, , , , , ,Post Office Box 6339, , ,Bethlehem,PA,Northampton,18018, , , , ,42095
Shasta County Sheriff's Office,Sheriff's office,154, , , , , ,1525 Court St, , ,Redding,CA,Shasta,96001, , , , ,6089
Concord Police Department,Local police department,153, , , , , ,Po Box 308, , ,Concord,NC,Cabarrus,28026, , , , ,37025
Midland Police Department,Local police department,153, , , , , ,601 North Loraine, , ,Midland,TX,Midland,79701, , , , ,48329
Pawtucket Police Department,Local police department,153, , , , , ,121 Roosevelt Avenue, , ,Pawtucket,RI,Providence,2860, , , , ,44007
Lake Charles Police Department,Local police department,153, , , , , ,Po Box 1564, , ,Lake Charles,LA,Calcasieu,70602, , , , ,22019
Amherst Town Police Department,Local police department,153, , , , , ,500 John James Audubon Parkway, , ,Amherst,NY,Erie,14228, , , , ,36029
St. Charles County Sheriff's Office,Sheriff's office,153, , , , , ,101 Crossing Industrial Court, , ,O Fallon,MO,St. Charles,63366, , , , ,29183
Danbury Police Department,Local police department,153, , , , , ,Po Box 243,23 High Street, ,Danbury,CT,Fairfield,6810, , , , ,9001
Newton County Sheriff's Office,Sheriff's office,152, , , , , ,304 E Seymour St, , ,Covington,GA,Newton,30014, , , , ,13217
Delray Beach Police Department,Local police department,152, , , , , ,300 West Atlantic Avenue, , ,Delray Beach,FL,Palm Beach,33444, , , , ,12099
South Dakota Highway Patrol,Primary state law enforcement agency,152, , , , , ,118 W. Capitol, , ,Pierre,SD,Hughes,57501, , , , ,46065
Lawrence Police Department,Local police department,151, , , , , ,90 Lowell St, , ,Lawrence,MA,Essex,1840, , , , ,25009
Allegheny County Sheriff's Office,Sheriff's office,151, , , , , ,436 Grant St,Room 111 Courthouse, ,Pittsburgh,PA,Allegheny,15219, , , , ,42003
Greenwich Police Department,Local police department,151, , , , , ,47 Main Street, , ,Greenwich,CT,Fairfield,6830, , , , ,9001
Plainfield Police Department,Local police department,151, , , , , ,14300 S. Coil Plus Drive, , ,Plainfield,NJ,Union,7060, , , , ,34039
Richland Parish Sheriff's Office,Sheriff's office,150, , , , , ,708 Julia St, , ,Rayville,LA,Richland,71269, , , , ,22083
Duluth Police Department,Local police department,150, , , , , ,411 W. 1St Street,CITY HALL #104A, ,Duluth,MN,St. Louis,55802, , , , ,27137
Santa Fe Police Department,Local police department,150, , , , , ,P.O. Box 950, , ,Santa Fe,NM,Santa Fe,87507, , , , ,35049
Waltham Police Department,Local police department,150, , , , , ,155 Lexington St, , ,Waltham,MA,Middlesex,2154, , , , ,25017
Hinds County Sheriff's Office,Sheriff's office,150, , , , , ,Po Box 1452, , ,Jackson,MS,Hinds,39215, , , , ,28049
Waukesha County Sheriff's Office,Sheriff's office,150, , , , , ,515 W Moreland Blvd, , ,Waukesha,WI,Waukesha,53188, , , , ,55133
Southfield Police Department,Local police department,149, , , , , ,26000 Evergreen,PO Box 2055, ,Southfield,MI,Oakland,48037, , , , ,26125
Livonia Police Department,Local police department,149, , , , , ,Po Box 307, , ,Livonia,MI,Wayne,48154, , , , ,26163
Oklahoma State Bureau of Investigation,Special jurisdiction,149, , , , , ,6600 N. Harvey, , ,"Okla. City,",OK,Oklahoma,73116, , , , ,40109
Kalamazoo County Sheriff's Office,Sheriff's office,149, , , , , ,1500 Lamont Ave, , ,Kalamazoo,MI,Kalamazoo,49048, , , , ,26077
Santa Cruz County Sheriff's Office,Sheriff's office,149, , , , , ,1250 N Hohokam Dr,Box 1150, ,Santa Cruz,CA,Santa Cruz,95060, , , , ,6087
Arkansas Highway Police,Special jurisdiction,149, , , , , ,PO Box 2779, , ,Little Rock,AR,Pulaski,72203, , , , ,5119
Cranston Police Department,Local police department,148, , , , , ,5 Garfield Avenue, , ,Cranston,RI,Providence,2920, , , , ,44007
Washington County Sheriff's Office,Sheriff's office,148, , , , , ,399 Broadway, , ,Fayetteville,AR,Washington,72701, , , , ,5143
Dothan Police Department,Local police department,148, , , , , ,210 North Saint Andrews Street, , ,Dothan,AL,Houston,36303, , , , ,1069
Stafford County Sheriff's Office,Sheriff's office,148, , , , , ,209 N Broadway St, , ,Stafford,VA,Stafford,22555, , , , ,51179
Wisconsin Department of Natural Resources - Parks and Recreation,Special jurisdiction,147, , , , , ,101 South Webster Street,P.O. Box 7921, ,Madison,WI,Dane,53707, , , , ,55025
St. Mary Parish Sheriff's Office,Sheriff's office,147, , , , , ,500 Main St,PO Box 571, ,Franklin,LA,St. Mary,70538, , , , ,22101
Johnson City Police Department,Local police department,146, , , , , ,P.O. Box 159, , ,Johnson City,TN,Washington,37605, , , , ,47179
Cicero Police Dept,Local police department,146, , , , , ,4901 W Cermak Rd.,4901 W. Cermak Rd., ,Cicero,IL,Cook,60804, , , , ,17031
Racine County Sheriff's Office,Sheriff's office,146, , , , , ,717 Wisconsin Ave, , ,Racine,WI,Racine,53403, , , , ,55101
Hamilton County Sheriff's Office,Sheriff's office,146, , , , , ,Po Box 764,103 West Ave C, ,Chattanooga,TN,Hamilton,37402, , , , ,47065
Greeley Police Department,Local police department,146, , , , , ,2875 W. 10Th Street, , ,Greeley,CO,Weld,80634, , , , ,8123
Pensacola Police Department,Local police department,146, , , , , ,Post Office Box 1750, , ,Pensacola,FL,Escambia,32591, , , , ,12033
Cherry Hill Police,Local police department,145, , , , , ,P.O. Box 5002, , ,Cherry Hill,NJ,Camden,8034, , , , ,34007
Niagara Falls Police Department,Local police department,145, , , , , ,520 Hyde Park Blvd,P.O. Box 69, ,Niagara Falls,NY,Niagara,14301, , , , ,36063
Lowndes County Sheriff's Office,Sheriff's office,145, , , , , ,527 S Mlk Jr. Dr, , ,Valdosta,GA,Lowndes,31603, , , , ,13185
El Monte Police Department,Local police department,145, , , , , ,11333 Valley Boulevard, , ,El Monte,CA,Los Angeles,91731, , , , ,6037
Plaquemines Parish Sheriff's Office,Sheriff's office,145, , , , , ,302 Main St, , ,Belle Chasse,LA,Plaquemines,70037, , , , ,22075
Brown County Sheriff's Office,Sheriff's office,144, , , , , ,706 Utah St, , ,Green Bay,WI,Brown,54301, , , , ,55009
Genesee County Sheriff's Office,Sheriff's office,144, , , , , ,165 Park Rd, , ,Flint,MI,Genesee,48502, , , , ,26049
Delaware River Port Authority - Transit Police,Special jurisdiction,144, , , , , ,Ben Franklin Bridge Admin Bldg,P.O. Box 1949, ,Camden,NJ,Camden,8101, , , , ,34007
Seminole Tribal Police Department,Local police department,144, , , , , ,3280 North 64Th Avenue, , ,Hollywood,FL,Broward,33024, , , , ,12011
Webb County Sheriff's Office,Sheriff's office,144, , , , , ,Po Box 29,902 Victoria St, ,Laredo,TX,Webb,78042, , , , ,48479
Jefferson County Sheriff's Office,Sheriff's office,143, , , , , ,16001 State Route 7, , ,Hillsboro,MO,Jefferson,63050, , , , ,29099
Yavapai County Sheriff's Office,Sheriff's office,143, , , , , ,255 E Gurley St, , ,Prescott,AZ,Yavapai,86301, , , , ,4025
Rocky Mount Police Department,Local police department,143, , , , , ,Po Box 1180, , ,Rocky Mount,NC,Nash,27802, , , , ,37127
Fayette County Sheriff's Office,Sheriff's office,143, , , , , ,Po Box 509, , ,Fayetteville,GA,Fayette,30214, , , , ,13113
Montgomery County Sheriff's Office,Sheriff's office,143, , , , , ,Po Box 432,200 Clark Dr, ,Rockville,MD,Montgomery,20850, , , , ,24031
San Angelo Police Department,Local police department,142, , , , , ,401 E Beauregard, , ,San Angelo,TX,Tom Green,76902, , , , ,48451
Odessa Police Department,Local police department,142, , , , , ,205 N. Grant, , ,Odessa,TX,Ector,79761, , , , ,48135
Baltimore City School Police Dept.,Special jurisdiction,142, , , , , ,200 E. North Avenue,Room 002, ,Baltimore,MD,Baltimore City,21202, , , , ,24510
Jefferson County Sheriff's Office,Sheriff's office,142, , , , , ,16001 State Route 7, , ,Beaumont,TX,Jefferson,77701, , , , ,48245
Winnebago County Sheriff's Office,Sheriff's office,142, , , , , ,216 S Clark St,PO Box 66, ,Rockford,IL,Winnebago,61102, , , , ,17201
Cuyahoga County Sheriff's Office,Sheriff's office,141, , , , , ,1215 W 3Rd St, , ,Cleveland,OH,Cuyahoga,44113, , , , ,39035
Santa Clara Police Department,Local police department,141, , , , , ,601 El Camino Real, , ,Santa Clara,CA,Santa Clara,95050, , , , ,6085
Kentucky Department of Fish & Wildlife,Special jurisdiction,140, , , , , ,#1 Sportsman Lane, , ,Frankfort,KY,Franklin,40601, , , , ,21073
Largo Police Department,Local police department,140, , , , , ,201 Highland Avenue, , ,Largo,FL,Pinellas,33770, , , , ,12103
Ocean County Sheriff's Office,Sheriff's office,140, , , , , ,Po Box 2191,120 Hooper Ave, ,Toms River,NJ,Ocean,8754, , , , ,34029
Illinois Department of Natural Resources,Special jurisdiction,140, , , , , ,1 Natural Resources Way, , ,Springfield,IL,Sangamon,62702, , , , ,17167
Maryland Transit Administration Police,Special jurisdiction,140, , , , , ,1040 Park Ave,Ste 306, ,Baltimore,MD,Baltimore City,21201, , , , ,24510
Pine Bluff Police Department,Local police department,140, , , , , ,200 East 8Th Ave., , ,Pine Bluff,AR,Jefferson,71601, , , , ,5069
Newport Beach Police Department,Local police department,140, , , , , ,870 Santa Barbara Drive, , ,Newport Beach,CA,Orange,92660, , , , ,6059
Lower Merion Township Police Dep,Local police department,139, , , , , ,71 E Lancaster Ave, , ,Ardmore,PA,Montgomery,19003, , , , ,42091
Kootenai County Sheriff's Office,Sheriff's office,139, , , , , ,5500 N Government Way,PO Box 9000, ,Coeur D Alene,ID,Kootenai,83816, , , , ,16055
Ada County Sheriff's Office,Sheriff's office,139, , , , , ,7200 Barrister Dr, , ,Boise,ID,Ada,83704, , , , ,16001
San Diego Harbor Police,Special jurisdiction,139, , , , , ,3380 N. Harbor Dr, , ,San Diego,CA,San Diego,92101, , , , ,6073
Binghamton Police Department,Local police department,139, , , , , ,38 Hawley Street, , ,Binghamton,NY,Broome,13901, , , , ,36007
North Dakota Highway Patrol,Primary state law enforcement agency,139, , , , , ,600 E. Boulevard Ave,Dpt 504, ,Bismarck,ND,Burleigh,58505, , , , ,38015
Mercer County Sheriff's Office,Sheriff's office,139, , , , , ,906 Sw 3Rd St, , ,Trenton,NJ,Mercer,8608, , , , ,34021
Lewisville Police Department,Local police department,138, , , , , ,P O Box 299002, , ,Lewisville,TX,Denton,75029, , , , ,48121
Billings Police Department,Local police department,138, , , , , ,Po Box 1554, , ,Billings,MT,Yellowstone,59103, , , , ,30111
Kent Police Department,Local police department,138, , , , , ,319 South Water Street, , ,Kent,WA,King,98032, , , , ,53033
Frederick Police Department,Local police department,138, , , , , ,100 W. Patrick Street, , ,Frederick,MD,Frederick,21701, , , , ,24021
New Brunswick Police,Local police department,138, , , , , ,25 Kirkpatric Street, , ,New Brunswick,NJ,Middlesex,8901, , , , ,34023
Wright County Sheriff's Office,Sheriff's office,138, , , , , ,719 2Nd St Sw,PO Box 348, ,Buffalo,MN,Wright,55313, , , , ,27171
Coweta County Sheriff's Office,Sheriff's office,137, , , , , ,560 Greison Trl, , ,Newnan,GA,Coweta,30263, , , , ,13077
Beverly Hills Police Department,Local police department,137, , , , , ,18600 W. 13 Mile Road, , ,Beverly Hills,CA,Los Angeles,90210, , , , ,6037
Ogden Police Department,Local police department,137, , , , , ,2186 Lincoln Avenue, , ,Ogden,UT,Weber,84401, , , , ,49057
Mount Pleasant Police Department,Local police department,137, , , , , ,P.O. Box 426, , ,Mount Pleasant,SC,Charleston,29464, , , , ,45019
Alabama Department of Conservation - Wildlife & Fisheries,Special jurisdiction,136, , , , , ,Post Office Box 301456, , ,Montgomery,AL,Montgomery,36130, , , , ,1101
Alamance County Sheriff's Office,Sheriff's office,136, , , , , ,109 S Maple St, , ,Graham,NC,Alamance,27253, , , , ,37001
Newton Police Department,Local police department,136, , , , , ,Po Box 385,2 Amesbury Road, ,Newton,MA,Middlesex,2465, , , , ,25017
Baytown Police Department,Local police department,136, , , , , ,3200 North Main, , ,Baytown,TX,Harris,77521, , , , ,48201
Visalia Department of Public Safety,Local police department,136, , , , , ,303 S. Johnson Street, , ,Visalia,CA,Tulare,93291, , , , ,6107
Longmont Police Department,Local police department,136, , , , , ,225 Kimbark Street, , ,Longmont,CO,Boulder,80501, , , , ,8013
Kissimmee Police Department,Local police department,136, , , , , ,8 North Stewart Street, , ,Kissimmee,FL,Osceola,34741, , , , ,12097
Santa Barbara Police Department,Local police department,136, , , , , ,215 E. Figueroa Street, , ,Santa Barbara,CA,Santa Barbara,93101, , , , ,6083
Hamilton Police Department,Local police department,135, , , , , ,200 S Davis, , ,Hamilton,OH,Butler,45011, , , , ,39017
Bloomfield Police,Local police department,135, , , , , ,12 E.Main Street,P. O. Box 411, ,Bloomfield,NJ,Essex,7003, , , , ,34013
Roanoke County Police Department,Local police department,135, , , , , ,Cove Road,5925, ,Roanoke,VA,Roanoke,24019, , , , ,51161
Union Police,Local police department,135, , , , , ,981 Caldwell Avenue, , ,Union,NJ,Union,7083, , , , ,34039
New Jersey Department of Human Services Police,Special jurisdiction,135, , , , , ,P.O. Box 700, , ,Trenton,NJ,Mercer,8628, , , , ,34021
Stark County Sheriff's Office,Sheriff's office,135, , , , , ,130 W Jefferson, , ,Canton,OH,Stark,44705, , , , ,39151
Yakima Police Department,Local police department,134, , , , , ,200 S 3Rd Street, , ,Yakima,WA,Yakima,98901, , , , ,53077
Berkeley County Sheriff's Office,Sheriff's office,134, , , , , ,223 N Live Oak Dr, , ,Moncks Corner,SC,Berkeley,29461, , , , ,45015
Clark County Sheriff's Office,Sheriff's office,134, , , , , ,Po Box 296, , ,Springfield,OH,Clark,45502, , , , ,39023
Licking County Sheriff's Office,Sheriff's office,134, , , , , ,155 E Main St, , ,Newark,OH,Licking,43055, , , , ,39089
East Hartford Police Department,Local police department,134, , , , , ,31 School Street, , ,East Hartford,CT,Hartford,6108, , , , ,9003
Ventura Police Department,Local police department,134, , , , , ,1425 Dowell Drive, , ,Ventura,CA,Ventura,93003, , , , ,6111
McHenry County Sheriff's Office,Sheriff's office,134, , , , , ,407 Main St. S#303, , ,Woodstock,IL,McHenry,60098, , , , ,17111
Jonesboro Police Department,Local police department,134, , , , , ,100 4Th St., , ,Jonesboro,AR,Craighead,72401, , , , ,5031
Anoka County Sheriff's Office,Sheriff's office,133, , , , , ,325 E Jackson St, , ,Anoka,MN,Anoka,55303, , , , ,27003
Federal Way Police Department,Local police department,133, , , , , ,33325 8Th Avenue South,PO BOX 9718, ,Federal Way,WA,King,98063, , , , ,53033
Round Rock Police Department,Local police department,133, , , , , ,2701 N. Mays St., , ,Round Rock,TX,Williamson,78665, , , , ,48491
Decatur Police Department,Local police department,133, , , , , ,114 N Phelps St, , ,Decatur,AL,Morgan,35602, , , , ,1103
Port of Los Angeles Police,Special jurisdiction,133, , , , , ,425 S. Palos Verdes St, , ,San Pedro,CA,Los Angeles,90731, , , , ,6037
Chicopee Police Department,Local police department,133, , , , , ,110 Church St, , ,Chicopee,MA,Hampden,2120, , , , ,25013
Terre Haute Police,Local police department,133, , , , , ,1211 Wabash Avenue, , ,Terre Haute,IN,Vigo,47807, , , , ,18167
Biloxi Police Department,Local police department,133, , , , , ,Post Office Drawer 1904, , ,Biloxi,MS,Harrison,39533, , , , ,28047
Gaston County Police Department,Local police department,133, , , , , ,Po Box 1578, , ,Gastonia,NC,Gaston,28053, , , , ,37071
Washtenaw County Sheriff's Office,Sheriff's office,133, , , , , ,2201 Hogback Rd, , ,Ann Arbor,MI,Washtenaw,48105, , , , ,26161
Monmouth County Prosecutor's Chief,Special jurisdiction,133, , , , , ,132 A. Jerseyville Avenue, , ,Freehold,NJ,Monmouth,7728, , , , ,34025
Linden Police,Local police department,133, , , , , ,P.O. Box 324, , ,Linden,NJ,Union,7036, , , , ,34039
Marietta Police Department,Local police department,133, , , , , ,101 W. Main, , ,Marietta,GA,Cobb,30060, , , , ,13067
Valdosta Police Department,Local police department,133, , , , , ,500 N. Toombs Street, , ,Valdosta,GA,Lowndes,31601, , , , ,13185
Columbia County Sheriff's Office,Sheriff's office,132, , , , , ,4917 Us Highway 90, , ,Lake City,FL,Columbia,32025, , , , ,12023
Lakewood Police,Local police department,132, , , , , ,231 Third Street,Box 540, ,Lakewood,NJ,Ocean,8701, , , , ,34029
West Allis Police Department,Local police department,132, , , , , ,11301 West Lincoln Avenue, , ,West Allis,WI,Milwaukee,53227, , , , ,55079
Clark County Sheriff's Office,Sheriff's office,132, , , , , ,Po Box 296, , ,Vancouver,WA,Clark,98666, , , , ,53011
Richardson Police Department,Local police department,132, , , , , ,P. O. Box 831078, , ,Richardson,TX,Dallas,75083, , , , ,48113
Temple Police Department,Local police department,132, , , , , ,Post Office Box 160, , ,Temple,TX,Bell,76501, , , , ,48027
Upper Darby Township Police Department,Local police department,131, , , , , ,7236 West Chester Pike, , ,Upper Darby,PA,Delaware,19082, , , , ,42045
Davidson County Sheriff's Office,Sheriff's office,131, , , , , ,Po Box 513, , ,Lexington,NC,Davidson,27293, , , , ,37057
Dona Ana County Sheriff's Office,Sheriff's office,131, , , , , ,Ste A,750 N. Motel Blvd., ,Las Cruces,NM,Dona Ana,88007, , , , ,35013
Sanford Police Department,Local police department,131, , , , , ,Po Box 3729, , ,Sanford,FL,Seminole,32771, , , , ,12117
Sugar Land Police Department,Local police department,130, , , , , ,PO BOX 110, , ,Sugar Land,TX,Fort Bend,77478, , , , ,48157
"Washingon Department of Fish & Wildlife, Enforcement",Special jurisdiction,130, , , , , ,600 Capital Way North, , ,Olympia,WA,Thurston,98501, , , , ,53067
Schaumburg Police Dept,Local police department,130, , , , , ,1000 W. Schaumburg Road, , ,Schaumburg,IL,Cook,60194, , , , ,17031
Norman Police Department,Local police department,130, , , , , ,201-B West Gray, , ,Norman,OK,Cleveland,73069, , , , ,40027
