agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Portland Police Bureau,Local police department,928, , , , , ,1111 Sw 2Nd Avenue #1180, , ,Portland,OR,Multnomah,97204, , , , ,41051,"1111 Sw 2Nd Avenue #1180, Portland, OR 97204",45.5150265,-122.6763215
Minneapolis Police Department,Local police department,902, , , , , ,209 N Sheridan St, , ,Minneapolis,MN,Hennepin,55415, , , , ,27053,"209 N Sheridan St, Minneapolis, MN 55415",44.97583909999999,-93.25710339999999
Jersey City Police,Local police department,900, , , , , ,8 Erie Street, , ,Jersey City,NJ,Hudson,7302, , , , ,34017,"8 Erie Street, Jersey City, NJ 7302",40.7267814,-74.0435256
Pittsburgh Police Department,Local police department,891, , , , , ,1203 Western Avenue, , ,Pittsburgh,PA,Allegheny,15233, , , , ,42003,"1203 Western Avenue, Pittsburgh, PA 15233",40.4501064,-80.0214304
Kentucky State Police,Primary state law enforcement agency,882, , , , , ,919 Versailles Rd, , ,Frankfort,KY,Franklin,40601, , , , ,21073,"919 Versailles Rd, Frankfort, KY 40601",38.1863122,-84.8215376
Pinellas County Sheriff's Office,Sheriff's office,863, , , , , ,Po Box 2500, , ,Largo,FL,Pinellas,33779, , , , ,12103,"Po Box 2500, Largo, FL 33779",27.909382,-82.7882558
San Francisco Sheriff's Department,Sheriff's office,838, , , , , ,"City Hall, Room 456",1 Dr. Carlton B. Goodlett Pl, ,San Francisco,CA,San Francisco,94102, , , , ,6075,"City Hall, Room 456, San Francisco, CA 94102",37.779275,-122.4192417
Mesa Police Department,Local police department,831, , , , , ,130 North Robson Street, , ,Mesa,AZ,Maricopa,85201, , , , ,4013,"130 North Robson Street, Mesa, AZ 85201",33.4183701,-111.8375268
Fresno Police Department,Local police department,828, , , , , ,2323 Mariposa Mall, , ,Fresno,CA,Fresno,93721, , , , ,6019,"2323 Mariposa Mall, Fresno, CA 93721",36.7384468,-119.7881499
Tulsa Police Department,Local police department,826, , , , , ,600 Civic Center, , ,Tulsa,OK,Tulsa,74103, , , , ,40143,"600 Civic Center, Tulsa, OK 74103",36.1496181,-95.995404
Jefferson Parish Sheriff's Office,Sheriff's office,825, , , , , ,1233 Westbank Expy Bldg B,5th Floor, ,Harvey,LA,Jefferson,70058, , , , ,22051,"1233 Westbank Expy Bldg B, Harvey, LA 70058",29.9061775,-90.0642355
Oklahoma Department of Public Safety,Primary state law enforcement agency,825, , , , , ,P. O. Box 11415, , ,"Okla. City,",OK,Oklahoma,73136, , , , ,40109,"P. O. Box 11415, Okla. City,, OK 73136",35.48999999999999,-97.47999999999999
Birmingham Police Department,Local police department,816, , , , , ,151 Martin St.,PO Box 3001, ,Birmingham,AL,Jefferson,35203, , , , ,1073,"151 Martin St., Birmingham, AL 35203",33.6627471,-86.6348014
Virginia Beach Police Department,Local police department,813, , , , , ,Municipal Cntr-2509 Princess, , ,Virginia Beach,VA,Virginia Beach City,23456, , , , ,51810,"Municipal Cntr-2509 Princess, Virginia Beach, VA 23456",36.7525905,-76.0563555
Oakland County Sheriff's Office,Sheriff's office,796, , , , , ,"1200  N Telegraph Rd, Bld 38 E", , ,Pontiac,MI,Oakland,48341, , , , ,26125,"1200  N Telegraph Rd, Bld 38 E, Pontiac, MI 48341",42.6555799,-83.3268003
Buffalo Police Department,Local police department,793, , , , , ,215 1St Ave Ne, , ,Buffalo,NY,Erie,14202, , , , ,36029,"215 1St Ave Ne, Buffalo, NY 14202",42.8943161,-78.8736493
St. Louis County Police Dept,Local police department,781, , , , , ,7900 Forsyth Blvd, , ,St Louis,MO,St. Louis,63105, , , , ,29189,"7900 Forsyth Blvd, St Louis, MO 63105",38.6498993,-90.3390235
Oakland Police Department,Local police department,773, , , , , ,P.O. Box 56, , ,Oakland,CA,Alameda,94607, , , , ,6001,"P.O. Box 56, Oakland, CA 94607",37.8404338,-122.2719169
Norfolk Police Department,Local police department,772, , , , , ,117 Main St, , ,Norfolk,VA,Norfolk City,23510, , , , ,51710,"117 Main St, Norfolk, VA 23510",36.8459888,-76.2919325
Maricopa County Sheriff's Office,Sheriff's office,766, , , , , ,19Th Floor,100 W. Washington, ,Phoenix,AZ,Maricopa,85003, , , , ,4013,"19Th Floor, Phoenix, AZ 85003",33.4495511,-112.0789355
Alabama Department of Public Safety,Primary state law enforcement agency,763, , , , , ,P.O. Box 1511,301 South Ripley Street, ,Montgomery,AL,Montgomery,36102, , , , ,1101,"P.O. Box 1511, Montgomery, AL 36102",32.37,-86.3
Orlando Police Department,Local police department,757, , , , , ,100 South Hughey Avenue, , ,Orlando,FL,Orange,32801, , , , ,12095,"100 South Hughey Avenue, Orlando, FL 32801",28.5411823,-81.3834354
Ventura County Sheriff's Office,Sheriff's office,755, , , , , ,800 S Victoria Ave, , ,Ventura,CA,Ventura,93009, , , , ,6111,"800 S Victoria Ave, Ventura, CA 93009",34.2674864,-119.210384
Richmond Police Department,Local police department,752, , , , , ,207 Summit Street, , ,Richmond,VA,Richmond City,23220, , , , ,51760,"207 Summit Street, Richmond, VA 23220",37.5676634,-77.4705552
Omaha Police Dept,Local police department,747, , , , , ,505 S. 15Th Street, , ,Omaha,NE,Douglas,68102, , , , ,31055,"505 S. 15Th Street, Omaha, NE 68102",41.2551536,-95.9351011
Colorado State Patrol,Primary state law enforcement agency,742, , , , , ,"700 Kipling St, Ste 2000", , ,Lakewood,CO,Jefferson,80215, , , , ,8059,"700 Kipling St, Ste 2000, Lakewood, CO 80215",39.7267988,-105.1073649
Marion County Sheriff's Office,Sheriff's office,740, , , , , ,2715 E Highway 76 Ste C, , ,Indianapolis,IN,Marion,46204, , , , ,18097,"2715 E Highway 76 Ste C, Indianapolis, IN 46204",39.7713348,-86.1543633
King County Sheriff's Office,Sheriff's office,721, , , , , ,Po Box 66,800 US Hwy 82 & 83 Baker, ,Seattle,WA,King,98104, , , , ,53033,"Po Box 66, Seattle, WA 98104",47.6015566,-122.3323351
Rochester Police Department,Local police department,703, , , , , ,P. O. Box 186, , ,Rochester,NY,Monroe,14614, , , , ,36055,"P. O. Box 186, Rochester, NY 14614",43.153975,-77.6120835
Raleigh Police Department,Local police department,702, , , , , ,Po Box 590, , ,Raleigh,NC,Wake,27602, , , , ,37183,"Po Box 590, Raleigh, NC 27602",35.7756018,-78.64039869999999
Sacramento Police Department,Local police department,701, , , , , ,"5770 Freeport Blvd., Suite 100", , ,Sacramento,CA,Sacramento,95822, , , , ,6067,"5770 Freeport Blvd., Suite 100, Sacramento, CA 95822",38.5219066,-121.4992284
New York State Metropolitan Transportation Authority Police,Special jurisdiction,694, , , , , ,347 Madison Avenue, , ,New York,NY,New York,10017, , , , ,36061,"347 Madison Avenue, New York, NY 10017",40.7542963,-73.9778947
Gwinnett County Police Department,Local police department,682, , , , , ,770 Hi Hope Road, , ,Lawrenceville,GA,Gwinnett,30045, , , , ,13135,"770 Hi Hope Road, Lawrenceville, GA 30045",33.9871782,-83.97304989999999
